date,price_eur_mwh
2015-01-01,36.63375
2015-01-02,41.61
2015-01-03,36.58958333333333
2015-01-04,31.723333333333333
2015-01-05,47.38916666666666
2015-01-06,45.34041666666667
2015-01-07,47.7925
2015-01-08,46.225833333333334
2015-01-09,45.27
2015-01-10,38.79916666666667
2015-01-11,30.98125
2015-01-12,40.18541666666667
2015-01-13,43.94208333333333
2015-01-14,45.48708333333334
2015-01-15,43.46541666666667
2015-01-16,45.75208333333333
2015-01-17,42.87291666666667
2015-01-18,38.3425
2015-01-19,49.44
2015-01-20,49.71625
2015-01-21,51.03541666666666
2015-01-22,52.07416666666666
2015-01-23,49.19
2015-01-24,43.20041666666666
2015-01-25,38.38791666666666
2015-01-26,48.96416666666667
2015-01-27,48.4675
2015-01-28,47.187916666666666
2015-01-29,48.36666666666667
2015-01-30,43.64958333333333
2015-01-31,46.010416666666664
2015-02-01,38.75125
2015-02-02,52.7275
2015-02-03,57.67416666666667
2015-02-04,56.712916666666665
2015-02-05,54.699999999999996
2015-02-06,51.173750000000005
2015-02-07,49.39625
2015-02-08,45.50333333333333
2015-02-09,62.99333333333333
2015-02-10,59.29291666666666
2015-02-11,59.90875
2015-02-12,53.15291666666667
2015-02-13,49.845416666666665
2015-02-14,39.795
2015-02-15,41.38
2015-02-16,54.6325
2015-02-17,52.83208333333334
2015-02-18,52.861250000000005
2015-02-19,53.03916666666667
2015-02-20,49.937083333333334
2015-02-21,47.399166666666666
2015-02-22,42.586666666666666
2015-02-23,48.15958333333333
2015-02-24,49.28958333333333
2015-02-25,50.92250000000001
2015-02-26,49.42041666666666
2015-02-27,51.300000000000004
2015-02-28,48.62375
2015-03-01,31.935833333333335
2015-03-02,48.1225
2015-03-03,51.29708333333334
2015-03-04,51.45541666666667
2015-03-05,51.00958333333333
2015-03-06,50.47416666666667
2015-03-07,41.067083333333336
2015-03-08,28.65125
2015-03-09,47.30875
2015-03-10,47.963750000000005
2015-03-11,46.82458333333333
2015-03-12,47.61541666666667
2015-03-13,45.91791666666666
2015-03-14,39.18541666666667
2015-03-15,33.812083333333334
2015-03-16,51.135416666666664
2015-03-17,51.17333333333334
2015-03-18,48.68
2015-03-19,47.37625
2015-03-20,39.92875
2015-03-21,38.287083333333335
2015-03-22,33.41375
2015-03-23,51.20875
2015-03-24,54.32791666666666
2015-03-25,57.13583333333333
2015-03-26,53.98
2015-03-27,49.7825
2015-03-28,38.23291666666667
2015-03-29,20.050869565217393
2015-03-30,40.2875
2015-03-31,41.37833333333334
2015-04-01,46.30458333333333
2015-04-02,50.4775
2015-04-03,47.26791666666667
2015-04-04,33.0525
2015-04-05,24.48875
2015-04-06,29.065833333333334
2015-04-07,49.47333333333333
2015-04-08,52.749583333333334
2015-04-09,50.94958333333333
2015-04-10,46.022083333333335
2015-04-11,31.017916666666665
2015-04-12,22.16208333333333
2015-04-13,45.03625
2015-04-14,46.37083333333334
2015-04-15,42.9
2015-04-16,41.89041666666667
2015-04-17,45.2425
2015-04-18,25.91875
2015-04-19,18.390416666666667
2015-04-20,40.12916666666667
2015-04-21,39.795
2015-04-22,39.91791666666666
2015-04-23,40.040416666666665
2015-04-24,35.75875
2015-04-25,29.01
2015-04-26,23.190416666666668
2015-04-27,33.88291666666667
2015-04-28,40.19166666666667
2015-04-29,39.477916666666665
2015-04-30,37.40541666666667
2015-05-01,23.278750000000002
2015-05-02,25.749583333333334
2015-05-03,17.3525
2015-05-04,28.9425
2015-05-05,27.28333333333333
2015-05-06,27.50791666666667
2015-05-07,26.022499999999997
2015-05-08,30.909166666666668
2015-05-09,17.34
2015-05-10,7.747916666666666
2015-05-11,30.455416666666665
2015-05-12,26.802916666666665
2015-05-13,25.234583333333333
2015-05-14,18.995
2015-05-15,28.89
2015-05-16,20.181250000000002
2015-05-17,8.8425
2015-05-18,29.901666666666667
2015-05-19,29.70583333333333
2015-05-20,35.27041666666667
2015-05-21,33.36
2015-05-22,32.38458333333333
2015-05-23,24.992500000000003
2015-05-24,17.541666666666668
2015-05-25,20.8225
2015-05-26,30.28916666666667
2015-05-27,32.30083333333334
2015-05-28,29.4275
2015-05-29,31.840416666666666
2015-05-30,20.0525
2015-05-31,17.20625
2015-06-01,32.077083333333334
2015-06-02,24.2025
2015-06-03,26.726666666666663
2015-06-04,29.455833333333334
2015-06-05,29.855
2015-06-06,25.47583333333333
2015-06-07,19.017916666666668
2015-06-08,32.42541666666667
2015-06-09,33.4375
2015-06-10,33.062916666666666
2015-06-11,33.73916666666667
2015-06-12,34.211666666666666
2015-06-13,25.13625
2015-06-14,18.280416666666667
2015-06-15,33.07833333333333
2015-06-16,34.59583333333333
2015-06-17,33.00666666666667
2015-06-18,32.96083333333333
2015-06-19,31.431250000000002
2015-06-20,26.630416666666665
2015-06-21,22.542916666666667
2015-06-22,35.531666666666666
2015-06-23,33.30916666666666
2015-06-24,33.00958333333333
2015-06-25,36.24791666666667
