date,load_end_users_ch_mw,load_ti_mw,load_bl_bs_mw,load_sh_zh_mw,load_ge_vd_mw
2015-01-01,6494.984874357895,349.75402989473685,368.41399738947365,1040.9480836210525,902.9808723368421
2015-01-02,6669.689355708334,367.36704475000005,404.2293065833333,1073.8830964583333,841.1325428333333
2015-01-03,6563.430637333334,361.62082633333335,394.230648875,1076.1417926666666,902.752851875
2015-01-04,6164.3437648750005,334.3157195416667,366.037926125,1023.150682,936.2031722083334
2015-01-05,7688.851054875001,351.0197651666667,456.70537683333333,1278.6816183333333,993.7727779583333
2015-01-06,7886.671883333333,329.91264183333334,472.31514695833334,1303.2937207916666,993.8813113749999
2015-01-07,7941.011984125001,398.21687237500004,471.540923,1289.5848078333333,979.1289242083334
2015-01-08,7816.148500958334,407.853162125,462.75324324999997,1268.9267359583334,956.60896625
2015-01-09,7651.086928666667,398.436645,458.7744224166667,1247.5238767916667,940.0866545
2015-01-10,6309.336391541667,336.19062770833335,382.8391149583333,1032.3567984166666,844.4103771250001
2015-01-11,6184.8090905416675,316.6018582916667,367.9324339166667,1026.2765954583333,914.725791375
2015-01-12,7727.110027583333,394.35505908333334,458.22965712499996,1267.618086125,1010.3041865833334
2015-01-13,7735.792153916666,411.6219459583333,461.5193029166667,1258.30194675,951.3554546250001
2015-01-14,7774.755843374999,410.74094091666666,464.29450770833336,1270.240328875,950.511119375
2015-01-15,7782.449637791667,422.25907475,467.81568799999997,1265.600339375,956.0765627916667
2015-01-16,7725.385829625,419.73506204166665,464.8315682083333,1249.71698575,958.9887327916666
2015-01-17,7056.536408791667,370.22128975000004,407.9992868333333,1140.335316875,874.4812981250001
2015-01-18,6686.3113039166665,344.319650375,380.376088,1066.9331519166667,860.4961739583333
2015-01-19,8037.904035041666,418.28304579166667,471.918546875,1292.1193187083334,999.4853168333334
2015-01-20,8097.902741166666,421.70524416666666,480.8043715416666,1308.8277955,992.08723525
2015-01-21,8131.373081333334,437.48262191666663,480.7202150416667,1319.233057625,1012.3743721249999
2015-01-22,8189.454484666668,441.28893066666666,484.32469875,1327.8359164166666,994.3564124166666
2015-01-23,8173.008372,417.03417829166665,480.58764170833336,1316.4030780416667,994.7115906666667
2015-01-24,7199.021754041667,352.7240307916666,413.60732154166664,1154.2038845833333,874.0488022083333
2015-01-25,6728.429903291667,334.6487299166667,384.7225187916667,1083.8635217083333,865.0683095833333
2015-01-26,8192.872428875,421.5366907916667,475.67501095833336,1330.8158287083334,1024.3784230416666
2015-01-27,8137.856012916666,423.847715875,477.9592088333333,1308.968883875,997.7023573333332
2015-01-28,8146.530880041667,424.90738812499995,478.16652595833335,1305.3460580833332,1005.3160394583333
2015-01-29,8133.127766666667,430.590797375,476.360539375,1314.659245875,1007.9663708749999
2015-01-30,8118.0055166249995,425.0953555833333,474.2218720416667,1303.1828340416666,1034.4792437083333
2015-01-31,7210.646689333334,379.11010991666666,414.70886129166666,1134.418417625,874.914332875
2015-02-01,6793.135584583334,354.5971521666667,391.0532732916667,1078.67050825,912.2236585833333
2015-02-02,8086.816722,421.4593532916667,470.898438375,1308.3742042083334,1024.889181375
2015-02-03,8312.991785625,438.29564962499995,483.17940975000005,1320.246552625,1001.7185414166667
2015-02-04,8402.506333375,434.864763,485.555239375,1342.1794172083335,1023.8747755416666
2015-02-05,8524.764373416667,442.9286547916667,494.24119525,1370.748716125,1048.1155602083334
2015-02-06,8490.064804708332,438.9428801666667,490.108195,1361.6859195416666,1038.707503375
2015-02-07,7508.591964833333,385.08596216666666,431.8067702916667,1192.9210407083333,913.81206475
2015-02-08,7043.4135363333335,349.01604037500005,401.15167816666667,1118.15906425,842.44667225
2015-02-09,8251.013368166667,409.147720625,478.0085194166666,1328.8609521666667,987.5473942916666
2015-02-10,8205.547284041668,399.37471629166663,483.82422112499995,1308.72110325,980.8987964583333
2015-02-11,8126.411769583334,404.55522341666665,479.81248504166666,1312.6119945,976.8897028749999
2015-02-12,8090.83341625,407.75033354166663,477.58472912499997,1315.8336715,968.5376592083334
2015-02-13,7972.704613458333,414.9997504166667,467.35182154166665,1292.621687375,948.7374440416667
2015-02-14,7012.152858500001,377.7081854166667,403.43740445833333,1118.8569254583333,965.5534677916667
2015-02-15,6577.813713208333,359.800387,371.8679735416667,1057.282082625,935.45793525
2015-02-16,7898.417222583333,416.25689874999995,453.68226845833334,1283.7905170000001,1004.8432075416667
2015-02-17,8047.272708166667,402.27213270833334,473.19935000000004,1304.00865875,1019.4073221666666
2015-02-18,8207.436330499999,407.19896216666666,476.315048625,1315.5451794583335,1058.649095
2015-02-19,7982.059322166667,406.6274989583333,468.6811107916667,1274.4480412916666,972.8000061666667
2015-02-20,7773.619753208332,402.274653,447.9300344166666,1239.2245513333335,954.522531125
2015-02-21,7044.735552583334,376.4584560416667,402.75841829166666,1114.207631,893.8027032499999
2015-02-22,6589.102802291666,347.9099265,372.60561370833335,1043.2712387083334,908.2972780416667
2015-02-23,7966.150642208333,416.7936301666667,424.85497995833333,1285.08444925,1026.6769117083334
2015-02-24,7963.937323833333,420.2427021666667,448.4705256666667,1281.094447,972.4184250416666
2015-02-25,7838.6493665416665,403.91706525,440.00840450000004,1266.3961674583334,970.6591401666666
2015-02-26,7843.322678416666,407.83271625,450.8280525833333,1259.5248764166665,942.576661875
2015-02-27,7932.558061166666,404.78998133333334,455.524673125,1280.076108625,957.9955375
2015-02-28,6925.720037791667,350.89079475,395.25794054166664,1108.2779405833332,824.9366562499999
2015-03-01,6432.491232125,326.7926224166667,367.5603295,1040.445401875,895.5323969583333
2015-03-02,7610.01967325,382.200669625,447.0708330416667,1246.1322493750001,996.3185074583333
2015-03-03,7598.269480125,375.55165783333337,456.39205545833335,1241.5973886250001,947.3667130833334
2015-03-04,7767.143192458334,388.765118625,461.0360652916667,1263.6420210416666,953.2047630416668
2015-03-05,7799.84223625,390.2937427916667,457.8505955,1267.5765870833334,955.0130958333333
2015-03-06,7682.201492541666,382.8669195,448.79849458333337,1236.3223042500001,934.3103475833333
2015-03-07,6706.9148663333335,343.93498725,385.86875000000003,1069.10641925,900.798241125
2015-03-08,6069.24626275,318.29409879166667,350.076582375,974.973983875,933.2775400833333
2015-03-09,7222.16927175,379.0116632916667,432.4596799583333,1184.4295589166666,961.1679241666667
2015-03-10,7282.945781416667,374.6513964583333,444.7784234166667,1187.2946392916667,917.43477325
2015-03-11,7275.3152625,361.57181599999996,450.0820023333333,1187.6723061666667,935.5550384583333
2015-03-12,7321.564126375,358.04057925,448.94170491666665,1200.7291226666666,956.3186417916667
2015-03-13,7312.999119708334,359.31548820833336,440.8723959166667,1190.8920535833333,948.3007510000001
2015-03-14,6497.289700208334,322.587289625,381.730849625,1045.7371276666665,862.4675611666667
2015-03-15,6092.266514416667,305.6812516666667,356.54551004166666,983.151706875,898.3653405833334
2015-03-16,7237.026954333333,382.5081528333333,440.56741754166666,1183.2611410833333,930.5013014166666
2015-03-17,7212.308655416667,384.9176670416667,445.92120866666664,1165.3877957916668,893.4843954583333
2015-03-18,7020.083533833334,370.16722125,441.54858541666664,1143.4649634583334,886.6898615416667
2015-03-19,6830.289234125,311.415146375,442.5860373333333,1144.3180109166667,915.8214729166666
2015-03-20,6930.932344958333,345.22610050000003,436.53816658333335,1143.5339259166667,937.2204888749999
2015-03-21,6296.975066333333,317.864124375,386.43190483333336,1041.9988139583334,811.0301273333333
2015-03-22,5978.555659458333,307.51229025000004,358.4244174166667,992.8511176666666,917.4800412083333
2015-03-23,7031.8978156250005,359.1424408333333,433.33949583333333,1169.87093525,876.6041878333334
2015-03-24,7070.558703791667,380.5747524166666,443.09579212499995,1157.5805879583334,875.1852854583334
2015-03-25,7201.826439541666,382.4610269583333,454.1948345833334,1178.14473,920.512252375
2015-03-26,7394.36896225,371.29264754166667,458.571133125,1217.5757432083333,921.7865888333334
2015-03-27,7178.510006708333,353.43969183333337,436.78096875,1177.9479069166666,877.6792885
2015-03-28,6200.307671,298.411605,377.31414966666665,1014.31878025,954.7832648333333
2015-03-29,5753.242981695652,312.3612631304348,345.9886509565217,950.6214640434782,978.5158438695653
2015-03-30,7037.0121624583335,347.40956241666663,432.56841779166666,1174.5934143333334,949.2847735833334
2015-03-31,7017.928799416666,345.63081474999996,435.10861700000004,1171.917575,974.053802375
2015-04-01,7261.33853525,355.55226825,435.4402142083333,1209.7222334583332,968.1729735416667
2015-04-02,7172.302485291667,354.5753944166667,424.5633335,1205.9239735833332,923.1302976666666
2015-04-03,5767.931166333333,333.081074,345.43787483333335,963.3657987083334,746.30903475
2015-04-04,5925.864012916667,299.49363675,360.87147325,1004.1033667500001,783.6736858333334
2015-04-05,5517.514698708333,288.38705308333334,328.48533841666665,922.5158175,925.1596868749999
2015-04-06,5719.020546749999,300.0646605416667,337.5353082916667,966.701119,929.756025875
2015-04-07,6906.094328791667,344.1192487916667,424.72533716666663,1170.200159,886.1481790833333
2015-04-08,6881.482842875,343.574787875,428.476393125,1156.4684940833333,841.2271876666667
2015-04-09,6677.540478666667,338.9774605833333,423.4061907083333,1123.413655625,835.59297125
2015-04-10,6467.605760791666,331.88341504166664,410.2585339166667,1085.7505577083332,816.9731231666666
2015-04-11,5617.930330416667,287.53018695833333,357.4660160833334,943.2389717916667,886.7079120833333
2015-04-12,5099.288117416667,275.028886875,325.10181554166667,852.7064051666666,877.5630974583333
2015-04-13,6335.1518407916665,312.816831875,407.557739375,1047.14004625,848.515745625
2015-04-14,6361.047152666666,322.40675300000004,406.92243012499995,1077.1260490833333,821.8430947083333
2015-04-15,6367.307754,320.5350404166667,406.38204966666666,1074.1337715833333,844.6079655416667
2015-04-16,6434.4315131250005,325.387704375,417.3827734166667,1078.293296375,857.34314825
2015-04-17,6567.07344825,326.717098125,424.6012847916666,1113.2471697083333,844.7714082083334
2015-04-18,5703.146637000001,285.5706950416667,357.7591571666667,955.162756875,844.2225067916667
2015-04-19,5226.242070041667,283.49863254166667,325.0472574166667,861.392803375,781.0231668749999
2015-04-20,6350.818236541666,326.6530705,407.35284241666665,1054.9550614583334,846.3271095
2015-04-21,6393.157715916666,316.731849625,416.3538403333334,1056.6992324166665,818.240223375
2015-04-22,6300.292093791667,320.05412325000003,413.6034327083333,1050.2503232916667,840.9541224583332
2015-04-23,6343.922900708333,319.3910842083333,414.34195516666665,1047.0198160833334,813.7134692916667
2015-04-24,6269.848732541667,316.02132612500003,408.8456071666667,1033.0216351666666,811.8713131666667
2015-04-25,5504.336233916667,296.92161854166665,356.35712566666666,906.4846625416667,807.181502125
2015-04-26,5003.111040916667,287.815305625,328.17244158333335,817.802216125,800.5190408333333
2015-04-27,6302.218709416667,345.465103125,407.9089285416667,1027.776835125,857.3885674166667
2015-04-28,6697.326768333333,329.51659712500003,424.656974875,1109.0633572083334,849.732525375
2015-04-29,6585.070179166666,329.27557758333336,417.5844050416667,1085.8511396249999,844.4021954583333
2015-04-30,6472.156473083333,330.50859304166664,411.4536141666667,1045.5622919999998,838.108687125
2015-05-01,6187.855528666667,324.8961326666667,343.9573062916666,912.1677435833334,1006.7311022083333
2015-05-02,5509.730838208333,290.3321105833333,349.4627125,907.961276125,828.4983793749999
2015-05-03,5151.505766583333,300.1986600833333,325.12106316666666,863.6221400833333,859.961014
2015-05-04,6383.541777083334,331.80221083333333,411.6182557083334,1076.295476125,852.3532557499999
2015-05-05,6447.9318356250005,322.5995560833333,422.46510116666667,1085.7480681666666,939.5679955416667
2015-05-06,6419.283141291667,332.65523679166665,415.294527375,1086.8222474166666,871.0186733333334
2015-05-07,6363.137342125,319.30895625,411.97021191666664,1065.4145770416667,840.396915625
2015-05-08,6318.753807791666,331.03800970833333,410.03116854166666,1061.4969239166667,812.3717918333333
2015-05-09,5368.518767083334,315.52120383333335,355.85681945833335,908.8340386250001,827.4027972499999
2015-05-10,4822.725067291666,273.900997625,319.8169335416667,812.6974169583333,762.0189985833334
2015-05-11,6127.712814291666,312.18713241666666,401.1694562083333,1034.2379835833333,813.7748832916667
2015-05-12,6242.500662833333,322.1942690416667,409.90626745833333,1046.1370329583333,893.575254125
2015-05-13,6120.001419666667,326.87886604166664,396.7859305833333,1030.299964,815.4955256666667
2015-05-14,4893.972595041667,284.65198100000003,320.418222625,820.0370634999999,697.4072822083334
2015-05-15,5853.553430041667,338.48494170833334,364.02905875000005,1003.7121207083334,756.8754745833334
2015-05-16,5193.575292291666,295.395392625,334.53675670833337,880.5684278333333,731.1037813333334
