date,price_eur_mwh,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,shortwave_radiation_sum,cloudcover_mean,sunshine_duration,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,load_end_users_ch_mw,load_ti_mw,load_bl_bs_mw,load_sh_zh_mw,load_ge_vd_mw
2015-01-04,36.63916666666667,6.85,10.95,2.775,0.0,10.525,5.9675,36.75,28822.05,-0.08125000000000002,4.09375,-4.18125,6473.112158068641,353.26440512993423,383.22796974320175,1053.530913686513,895.7673598133772
2015-01-11,43.11404761904762,7.828571428571428,11.214285714285714,3.9714285714285715,0.014285714285714287,10.5,6.218571428571429,33.42857142857143,30693.49714285714,2.017857142857143,5.932142857142857,-1.5357142857142858,7353.987976291667,362.60451035714283,438.9800944761905,1206.6634505119048,946.0878289702381
2015-01-18,42.86392857142857,5.985714285714286,7.757142857142857,3.6714285714285713,13.27142857142857,7.242857142857143,3.29,67.57142857142857,14054.14,1.1428571428571428,4.932142857142857,-2.1035714285714286,7498.334457857142,396.1790032678572,443.5808712559524,1216.9637365238098,937.4590754642858
2015-01-25,47.57773809523809,2.4857142857142853,5.571428571428571,-0.6285714285714287,4.0285714285714285,9.857142857142858,5.478571428571428,59.0,20580.19,-1.967857142857143,0.6535714285714285,-4.5928571428571425,7793.870624505952,403.3095402202381,456.66933060714285,1257.498081797619,961.7331484404762
2015-02-01,45.91392857142857,3.1714285714285713,5.428571428571429,0.35714285714285715,0.9428571428571428,8.814285714285715,7.861428571428571,61.142857142857146,31216.221428571425,-2.435714285714286,-0.38571428571428573,-4.760714285714286,7818.882125577381,408.52645854761903,455.4493273928571,1253.723110922619,979.568632267857
2015-02-08,52.555416666666666,2.6714285714285713,4.828571428571428,0.34285714285714286,3.1571428571428575,8.8,5.795714285714285,73.71428571428571,14654.342857142858,-5.4071428571428575,-2.892857142857143,-7.896428571428571,8052.735645755952,415.7990433452381,465.2772751726191,1287.7592735238097,984.7948998452381
2015-02-15,52.33833333333333,5.214285714285714,8.414285714285715,2.0714285714285716,7.085714285714286,7.042857142857143,7.25,42.42857142857143,23135.807142857142,-0.7178571428571429,4.425,-4.860714285714286,7748.068146172619,396.1909023869048,451.69816489285716,1247.8269166964287,966.2317714166667
2015-02-22,50.46970238095238,5.571428571428571,8.571428571428571,2.314285714285714,5.814285714285715,7.214285714285714,9.314285714285715,61.0,28575.522857142856,0.060714285714285686,4.567857142857143,-3.8785714285714286,7648.949098785713,394.142646875,442.16740632738095,1224.9279739345238,973.1888776130953
2015-03-01,47.09309523809524,5.371428571428572,8.828571428571427,1.2571428571428573,0.09999999999999999,9.985714285714286,9.322857142857144,64.14285714285714,22867.67714285714,0.3714285714285714,3.742857142857143,-3.439285714285714,7557.547048869048,390.17993033333335,426.0721294107143,1217.2713416011904,941.5422470714285
2015-03-08,46.01101190476191,6.514285714285714,9.842857142857143,2.6285714285714286,0.21428571428571427,11.771428571428572,12.99,40.42857142857143,31974.082857142854,1.6357142857142857,5.917857142857143,-2.957142857142857,7319.0910291011905,368.8438849166667,429.58476803571426,1185.621564785714,945.755601172619
2015-03-15,44.08970238095238,7.614285714285714,11.557142857142859,2.8285714285714287,1.2714285714285711,7.2,14.177142857142856,48.142857142857146,33196.41428571429,3.3714285714285714,8.310714285714285,-1.7642857142857142,7000.649968053572,351.55135492857147,422.20150945833336,1139.9866450238094,925.6585757738095
2015-03-22,44.28494047619048,8.814285714285715,11.799999999999999,5.485714285714286,3.8000000000000003,5.914285714285714,8.582857142857142,74.57142857142857,16798.35,6.807142857142857,11.632142857142856,1.592857142857143,6786.5959212083335,345.65867180357145,421.7168196845238,1116.4022526845238,898.8896698214285
2015-03-29,46.38839803312629,10.557142857142859,14.6,6.085714285714286,2.1714285714285717,9.542857142857143,13.668571428571427,57.0,32557.88714285714,5.821428571428571,10.171428571428573,1.592857142857143,6832.958940087474,351.0976325305383,421.32643214855074,1123.7228782324016,915.0095302432712
2015-04-05,40.465297619047625,10.142857142857142,14.200000000000001,6.371428571428572,1.7857142857142858,10.700000000000001,16.58142857142857,50.57142857142857,37193.76714285714,4.242857142857143,7.378571428571428,1.0392857142857144,6528.555980053571,332.0185433809524,394.63932414285716,1093.1631684761903,895.6834649464287
2015-04-12,40.205773809523805,11.87142857142857,17.014285714285716,5.3999999999999995,0.0,8.7,22.821428571428573,15.571428571428571,46659.69285714285,7.45,13.99642857142857,0.20714285714285724,6195.566057958334,317.31123523809526,386.70994211904764,1042.6399089107142,867.7097852261904
2015-04-19,37.964166666666664,14.514285714285714,19.542857142857144,8.714285714285714,1.1714285714285713,7.671428571428572,18.761428571428574,55.142857142857146,40146.514285714286,11.417857142857143,17.12142857142857,4.732142857142857,6142.057202267858,310.99039362499997,392.23609885119043,1029.4994133214284,834.6181479999999
2015-04-26,35.40595238095238,14.885714285714286,19.114285714285717,9.37142857142857,2.414285714285714,7.871428571428572,18.891428571428573,38.285714285714285,35434.25428571428,12.292857142857143,18.353571428571428,5.485714285714286,6023.6409934761905,311.9411968392857,392.1467492916667,995.176135297619,819.8295401071429
2015-05-03,31.048392857142858,13.5,16.82857142857143,10.37142857142857,10.114285714285714,7.714285714285714,12.505714285714285,88.57142857142857,21010.48285714286,11.125,14.971428571428572,7.296428571428572,6129.409180494047,321.4561106011905,382.8778577976191,993.1435405357142,869.2603529940476
2015-05-10,23.67904761904762,17.34285714285714,21.17142857142857,13.028571428571428,3.857142857142857,8.942857142857143,17.205714285714286,60.0,34779.577142857146,15.264285714285714,20.12857142857143,10.142857142857142,6017.698819755953,318.11802444642854,392.43614538690474,1013.90124975,843.5900611309524
2015-05-17,22.77166666666667,18.5,23.114285714285717,12.299999999999999,12.542857142857144,8.814285714285715,22.024285714285718,61.0,40927.91428571429,16.282142857142855,21.667857142857144,10.221428571428572,5594.554511464286,308.0092967321429,362.3648347678572,944.9546964642857,781.6922091309524
2015-05-24,29.022380952380953,15.514285714285714,19.842857142857145,10.957142857142857,7.471428571428571,8.857142857142858,18.967142857142857,72.85714285714286,39645.025714285715,11.642857142857142,15.65,6.978571428571429,6080.916375779762,320.7300182083333,384.42279032738094,1019.5962905059524,845.5591108869048
2015-05-31,25.991309523809523,17.342857142857145,21.085714285714285,12.314285714285715,1.5,8.214285714285714,22.55857142857143,40.714285714285715,48799.16285714286,14.571428571428571,19.25714285714286,9.589285714285714,5795.669382071428,299.49267428571426,374.1394387619048,971.9234220178571,810.8183505
2015-06-07,26.687261904761904,22.52857142857143,26.914285714285715,15.542857142857143,0.45714285714285713,7.085714285714286,23.21,44.0,47191.76,22.292857142857144,28.175,15.446428571428571,5860.743247845238,313.7747828392857,390.89914575595236,993.6013178333333,825.5340538571428
2015-06-14,30.041904761904764,20.428571428571427,23.82857142857143,16.314285714285713,10.514285714285714,7.8428571428571425,17.51142857142857,76.57142857142857,35560.491428571426,19.92142857142857,24.432142857142857,15.114285714285714,5870.164311886904,331.62133838095235,387.54575805952385,987.3412073095238,822.073054297619
2015-06-21,30.606607142857143,19.8,23.214285714285715,16.142857142857142,3.2857142857142856,6.971428571428571,22.259999999999998,61.714285714285715,45167.74857142857,17.017857142857142,20.40357142857143,13.178571428571429,5859.150463571429,307.93750736904764,386.35767359523805,983.207429047619,807.4690377678571
